,InvoiceID,Date,ProductID,TotalSales,Discount,CustomerID,Quantity
0,328,2019-12-27,1684,796.610169,143.389831,185,4
1,329,2019-12-27,524,355.932203,64.067797,185,2
2,330,2019-12-27,192,901.694915,162.305085,230,4
3,330,2019-12-27,218,182.754237,32.895763,230,1
4,330,2019-12-27,247,780.101695,140.418305,230,4
5,330,2019-12-27,252,1123.966102,202.313898,230,4
6,330,2019-12-27,486,1251.084746,225.195254,230,4
7,330,2019-12-27,487,805.084746,144.915254,230,2
8,330,2019-12-27,1793,1175.423729,211.576271,230,4
9,330,2019-12-27,975,966.101695,173.898305,230,4
10,330,2019-12-27,1649,512.033898,92.166102,230,2
11,330,2019-12-27,1559,2850.0,513.0,230,4
12,331,2019-12-27,1909,3053.38983,549.61017,458,3
13,332,2019-12-28,1468,1423.728814,256.271186,267,4
14,333,2019-12-28,525,747.457627,134.542373,424,4
15,334,2019-12-28,527,1288.135593,231.864407,420,8
16,334,2019-12-28,531,1389.830508,250.169492,420,8
17,334,2019-12-28,582,1322.033898,237.966102,420,4
18,334,2019-12-28,559,3305.084746,594.915254,420,20
19,334,2019-12-28,563,3813.559322,686.440678,420,20
20,334,2019-12-28,493,1118.644068,201.355932,420,8
21,334,2019-12-28,501,1423.728814,256.271186,420,8
22,334,2019-12-28,1475,711.864407,128.135593,420,4
23,334,2019-12-28,1842,3474.576271,625.423729,420,20
24,335,2019-12-28,158,2474.576271,445.423729,492,4
25,336,2019-12-28,527,1423.728814,256.271186,129,8
26,336,2019-12-28,525,745.762712,134.237288,129,4
27,337,2019-12-28,536,917.79661,165.20339,80,4
28,338,2019-12-28,576,500.0,90.0,344,2
29,339,2019-12-28,572,1155.932203,208.067797,424,4
30,340,2019-12-28,1498,389.830508,70.169492,254,2
31,341,2019-12-28,536,946.779661,170.420339,54,4
32,341,2019-12-28,530,913.559322,164.440678,54,4
33,341,2019-12-28,499,847.118644,152.481356,54,4
34,342,2019-12-28,1498,714.237288,128.562712,254,4
35,342,2019-12-28,1789,432.20339,77.79661,254,2
36,343,2019-12-28,527,745.762712,134.237288,17,4
